
Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0008, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 425/425 (100%)


 The epoch is 80, average recall: 0.7414, average precision: 0.8600,average F1: 0.7963, average accuracy: 0.8136, average AUC: 0.9138
Train set: Average loss: 0.0089, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0064, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0099, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0030, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0030, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0011, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0011, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0049, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0015, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 424/425 (100%)


 The epoch is 90, average recall: 0.7241, average precision: 0.8571,average F1: 0.7850, average accuracy: 0.8051, average AUC: 0.8971
Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0028, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0034, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0126, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0012, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0021, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


 The epoch is 100, average recall: 0.7586, average precision: 0.8627,average F1: 0.8073, average accuracy: 0.8220, average AUC: 0.9055
Train set: Average loss: 0.0010, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0008, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0017, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


 The epoch is 110, average recall: 0.7414, average precision: 0.8431,average F1: 0.7890, average accuracy: 0.8051, average AUC: 0.9037
